Front;Back
I'm excited about what's next.;Estou empolgado com o que vem a seguir.
Looking forward to working together.;Ansioso para trabalhar juntos.
Let's make it happen.;Vamos fazer acontecer.
We've got this!;Temos isso!
I'm confident we can do this.;Estou confiante que podemos fazer isso.
Let's stay positive.;Vamos manter o positivo.
We'll figure it out.;Vamos descobrir.
Don't worry, we'll solve this.;Não se preocupe, vamos resolver isso.
We've overcome bigger challenges.;Já superamos desafios maiores.
This is just a temporary setback.;Isso é apenas um contratempo temporário.
Let's learn from this.;Vamos aprender com isso.
Every failure is a learning opportunity.;Todo fracasso é uma oportunidade de aprendizado.
We'll do better next time.;Faremos melhor na próxima vez.
