Front;Back
We need to refactor this module.;Precisamos refatorar este módulo.
Let's add tests to improve coverage.;Vamos adicionar testes para melhorar cobertura.
This is a bug fix.;Isso é uma correção de bug.
The bug was reported by QA.;O bug foi reportado pelo QA.
What's the severity?;Qual é a severidade?
This is a critical bug.;Este é um bug crítico.
We need to fix this ASAP.;Precisamos corrigir isso ASAP.
Let's create a hotfix.;Vamos criar um hotfix.
Can we deploy the fix today?;Podemos fazer deploy da correção hoje?
The fix is ready for testing.;A correção está pronta para teste.
QA verified the fix.;QA verificou a correção.
The bug is resolved.;O bug está resolvido.
Let's close the ticket.;Vamos fechar o ticket.
This is a new feature request.;Esta é uma nova solicitação de funcionalidade.
The customer requested this enhancement.;O cliente solicitou esta melhoria.
Let's add it to the backlog.;Vamos adicionar ao backlog.
We'll consider it for a future sprint.;Vamos considerar para uma sprint futura.
The product roadmap shows our direction.;O roadmap do produto mostra nossa direção.
We're working towards the Q2 release.;Estamos trabalhando para o release de Q2.
The release date is June 30th.;A data de release é 30 de junho.
Are we on schedule?;Estamos no cronograma?
We might need to descope some features.;Talvez precisemos reduzir o escopo de algumas funcionalidades.
Let's negotiate the scope with stakeholders.;Vamos negociar o escopo com stakeholders.
The MVP needs these core features.;O MVP precisa dessas funcionalidades principais.
Everything else is nice to have.;Todo o resto é bom ter.
Let's focus on the must-haves.;Vamos focar nos indispensáveis.
We can add the nice-to-haves later.;Podemos adicionar os bom-ter depois.
The definition of ready ensures stories are prepared.;A definição de pronto garante que histórias estão preparadas.
This story is not ready for development.;Esta história não está pronta para desenvolvimento.
We need more information.;Precisamos de mais informação.
Let's clarify the requirements.;Vamos clarificar os requisitos.
The user story format is: As a... I want... So that...;O formato de user story é: Como um... Eu quero... Para que...
Let's write this from the user's perspective.;Vamos escrever isso da perspectiva do usuário.
The story should deliver value to the user.;A história deve entregar valor ao usuário.
Why are we building this?;Por que estamos construindo isso?
What problem are we solving?;Que problema estamos resolvendo?
How will we measure success?;Como vamos medir sucesso?
Let's define the success metrics.;Vamos definir as métricas de sucesso.
The feature usage will be tracked.;O uso da funcionalidade será rastreado.
We'll monitor user engagement.;Vamos monitorar engajamento do usuário.
Let's run an A/B test.;Vamos rodar um teste A/B.
We're iterating based on user feedback.;Estamos iterando baseado no feedback do usuário.
The team follows Scrum framework.;O time segue o framework Scrum.
We have daily standups, sprint planning, review, and retro.;Temos daily standups, planejamento de sprint, revisão e retro.
The Scrum Master facilitates the ceremonies.;O Scrum Master facilita as cerimônias.
The Product Owner manages the backlog.;O Product Owner gerencia o backlog.
The Development Team is self-organizing.;O Time de Desenvolvimento é auto-organizado.
We're cross-functional.;Somos cross-funcionais.
Everyone can contribute to different areas.;Todo mundo pode contribuir em diferentes áreas.
We value individuals and interactions.;Valorizamos indivíduos e interações.
Working software over comprehensive documentation.;Software funcionando sobre documentação abrangente.
Customer collaboration over contract negotiation.;Colaboração com cliente sobre negociação de contrato.
Responding to change over following a plan.;Responder a mudanças sobre seguir um plano.
We embrace agile values.;Abraçamos valores ágeis.
Continuous improvement is our goal.;Melhoria contínua é nosso objetivo.
We inspect and adapt.;Inspecionamos e adaptamos.
Let's be transparent about our progress.;Vamos ser transparentes sobre nosso progresso.
The burndown chart shows remaining work.;O gráfico burndown mostra trabalho restante.
We're trending above the ideal line.;Estamos tendendo acima da linha ideal.
We need to pick up the pace.;Precisamos acelerar o ritmo.
The team capacity is reduced this sprint.;A capacidade do time está reduzida nesta sprint.
Two team members are on vacation.;Dois membros do time estão de férias.
Let's adjust our commitment.;Vamos ajustar nosso compromisso.
We should be realistic about what we can deliver.;Devemos ser realistas sobre o que podemos entregar.
Underpromise and overdeliver.;Prometer menos e entregar mais.
Let's set achievable goals.;Vamos definir objetivos alcançáveis.
